birim,fakulte
Atatürk İlkeleri ve İnkılap Tarihi,Rektörlük
Batı Dilleri ve Edebiyatı ,Fen-Edebiyat
Beden Eğitimi ,Rektörlük
Bilgisayar Mühendisliği ,Elektrik-Elektronik
Bilgisayar ve Öğretim Teknolojileri Eğitimi ,Eğitim
Biyomedikal Mühendisliği,Elektrik-Elektronik
Biyomühendislik ,Kimya-Metalurji
Elektrik - Elektronik Fakültesi ,Elektrik-Elektronik
Elektrik Mühendisliği ,Elektrik-Elektronik
Elektronik & Haberleşme Mühendisliği,Elektrik-Elektronik
Endüstri Mühendisliği ,Makine
Enformatik,Rektörlük
Eğitim Bilimleri,Eğitim
Eğitim Fakültesi,Eğitim
Felsefe ,Fen-Edebiyat
Fen Bilimleri Enstitüsü ,Enstitü
Fen-Edebiyat Fakültesi,Fen-Edebiyat
Fizik ,Fen-Edebiyat
Gemi İnşaatı ve Denizcilik Fakültesi,Gemi İnşaatı ve Denizcilik
Gemi İnşaatı ve Gemi Makineleri Mühendisliği,Gemi İnşaatı ve Denizcilik
Gemi Makineleri İşletme Mühendisliği,Gemi İnşaatı ve Denizcilik
Gıda Mühendisliği ,Kimya-Metalurji
Harita Mühendisliği ,İnşaat
İktisadi ve İdari Bilimler Fakültesi,İktisadi ve İdari Bilimler
İktisadi ve İdari Programlar,Yüksek Okullar
İktisat ,İktisadi ve İdari Bilimler
İletişim Tasarımı ,Sanat ve Tasarım
İlköğretim,NA
İnsan ve Toplum Bilimleri ,Fen-Edebiyat
İnşaat Fakültesi,İnşaat
İnşaat Mühendisliği ,İnşaat
İstatistik,Fen-Edebiyat
İşletme ,İktisadi ve İdari Bilimler
Kimya ,Fen-Edebiyat
Kimya Mühendisliği,Kimya-Metalurji
Kimya-Metalurji Fakültesi ,Kimya-Metalurji
Kontrol ve Otomasyon Mühendisliği ,Elektrik-Elektronik
Makine Fakültesi,Makine
Makine Mühendisliği ,Makine
 Matematik ,Fen-Edebiyat
Matematik Mühendisliği,Kimya-Metalurji
Mekatronik Mühendisliği ,Makine
Metalurji ve Malzeme Mühendisliği ,Kimya-Metalurji
Milli Saraylar ve Tarihi Yapılar Meslek Yüksek Okulu,Yüksek Okullar
Mimarlık,Mimarlık
Mimarlık Fakültesi,Mimarlık
Modern Diller ,Yüksek Okullar
Moleküler Biyoloji ve Genetik ,Fen-Edebiyat
Müzik ve Sahne Sanatları,Sanat ve Tasarım
 <NA>,NA
Rektörlük ,Rektörlük
Sanat ,Sanat ve Tasarım
Sanat ve Tasarım,Sanat ve Tasarım
Sanat ve Tasarım Fakültesi,Sanat ve Tasarım
Siyaset Bilimi ve Uluslararası İlişkiler,İktisadi ve İdari Bilimler
Sosyal Bilimler Enstitüsü ,Enstitü
Sosyoloji ,Fen-Edebiyat
Tarih ,Fen-Edebiyat
Teknik Programlar ,Yüksek Okullar
 Temel İngilizce ,Yüksek Okullar
Türk Dili ,Rektörlük
Türk Dili ve Edebiyatı,Fen-Edebiyat
Türkçe Eğitimi,Eğitim
Yabancı Diller Eğitimi,Eğitim
Yabancı Diller Yüksek Okulu ,Yüksek Okullar
Çevre Mühendisliği,İnşaat
Şehir ve Bölge Planlama ,Mimarlık
